Time,Time Code,Country Name,Country Code,Adjusted net national income (annual % growth) [NY.ADJ.NNTY.KD.ZG],Adjusted net national income per capita (annual % growth) [NY.ADJ.NNTY.PC.KD.ZG],"Adjusted net savings, excluding particulate emission damage (% of GNI) [NY.ADJ.SVNX.GN.ZS]","Adjusted net savings, including particulate emission damage (% of GNI) [NY.ADJ.SVNG.GN.ZS]",Gross savings (% of GDP) [NY.GNS.ICTR.ZS]
2006,YR2006,Afghanistan,AFG,..,..,..,..,..
2006,YR2006,China,CHN,14.34127016,13.70459698,25.57396237,25.01135847,48.26050543
2006,YR2006,Canada,CAN,4.819471597,3.765776197,11.74115237,11.69518774,24.61727708
2006,YR2006,India,IND,7.688400198,6.059344795,24.31312617,22.7058975,36.36053211
2006,YR2006,Italy,ITA,1.094799179,0.791405134,8.288746923,8.216782241,20.48806723
2006,YR2006,Japan,JPN,0.497468122,0.433799446,8.42267154,8.344865354,29.81593218
2006,YR2006,United States,USA,3.76080347,2.765094156,6.780091513,6.668165145,19.16027897
2006,YR2006,United Kingdom,GBR,0.269876304,-0.464453948,4.965221811,4.888404497,15.26580643
2006,YR2006,Switzerland,CHE,3.350680494,2.704125419,21.24359831,21.18377992,40.59324182
2006,YR2006,Sudan,SDN,..,..,..,..,32.40623159
2007,YR2007,Afghanistan,AFG,..,..,..,..,..
2007,YR2007,China,CHN,15.28875535,14.68820424,27.19188173,26.67237594,50.27522622
2007,YR2007,Canada,CAN,2.990108045,1.994775747,11.36816929,11.32386022,24.40431956
2007,YR2007,India,IND,8.488495437,6.909257833,24.89125458,23.34825637,37.011389
2007,YR2007,Italy,ITA,1.281616644,0.7715006,8.245889508,8.176373448,20.87527346
2007,YR2007,Japan,JPN,1.07876296,0.962681225,8.608271787,8.532391514,30.34337994
2007,YR2007,United States,USA,0.324600932,-0.625018584,4.778532008,4.671963588,17.37617502
2007,YR2007,United Kingdom,GBR,1.882906725,1.092659742,4.707869604,4.632881613,14.91606514
2007,YR2007,Switzerland,CHE,-4.1804152,-5.032931082,18.01954642,17.95721858,35.76243845
2007,YR2007,Sudan,SDN,..,..,..,..,37.88917556
2008,YR2008,Afghanistan,AFG,..,..,..,..,..
2008,YR2008,China,CHN,6.389875145,5.846141528,26.53345846,26.02489322,51.78758738
2008,YR2008,Canada,CAN,1.311292039,0.22010379,10.12663976,10.08393659,24.24740931
2008,YR2008,India,IND,1.755230707,0.318117861,22.55741369,20.99628994,36.25408263
2008,YR2008,Italy,ITA,-3.394522423,-4.032388841,6.195879493,6.125858904,18.99223729
2008,YR2008,Japan,JPN,-4.682253063,-4.728399884,5.937657182,5.862029096,28.64210741
2008,YR2008,United States,USA,-2.678072825,-3.594267337,1.760177577,1.656192405,15.01974503
2008,YR2008,United Kingdom,GBR,-2.445217436,-3.209991939,2.437598045,2.362143074,13.70899793
2008,YR2008,Switzerland,CHE,-7.316339776,-8.486544951,11.53328476,11.46853763,28.75065901
2008,YR2008,Sudan,SDN,..,..,..,..,33.74008284
2009,YR2009,Afghanistan,AFG,..,..,..,..,..
2009,YR2009,China,CHN,12.91539523,12.35516944,27.56831431,27.06035882,50.37304208
2009,YR2009,Canada,CAN,-6.157894721,-7.223251088,4.472677513,4.429753002,18.52001347
2009,YR2009,India,IND,11.11183302,9.576753564,23.52267088,22.02125753,35.61743481
2009,YR2009,Italy,ITA,-4.031388538,-4.467639874,3.988372458,3.917163739,17.6282489
2009,YR2009,Japan,JPN,-5.817075733,-5.805307188,1.746281013,1.668231744,25.3311155
2009,YR2009,United States,USA,-1.103301303,-1.966491385,0.846583678,0.745057336,13.82177114
2009,YR2009,United Kingdom,GBR,-3.527254054,-4.254212297,0.249540928,0.174300276,11.90258303
2009,YR2009,Switzerland,CHE,7.818314101,6.479522253,15.25139483,15.18852249,34.59957069
2009,YR2009,Sudan,SDN,..,..,..,..,23.48517448
2010,YR2010,Afghanistan,AFG,..,..,..,..,..
2010,YR2010,China,CHN,8.577877519,8.054754393,26.30661937,25.81053412,51.32671358
2010,YR2010,Canada,CAN,5.548034094,4.380983452,6.69736387,6.657084522,19.3125301
2010,YR2010,India,IND,9.374433923,7.878027186,24.35380757,22.89447192,36.30587504
2010,YR2010,Italy,ITA,0.229514959,-0.07830857,3.238376894,3.170438014,17.27255327
2010,YR2010,Japan,JPN,4.954278074,4.93542941,3.891471612,3.818250835,26.3773425
2010,YR2010,United States,USA,4.33275481,3.470773393,2.849528711,2.756874915,15.29630832
2010,YR2010,United Kingdom,GBR,4.295928573,3.481560669,2.829474369,2.758633435,13.41000244
2010,YR2010,Switzerland,CHE,9.897569588,8.758863036,19.83530543,19.77977436,39.35441243
2010,YR2010,Sudan,SDN,..,..,..,..,27.34787941
2011,YR2011,Afghanistan,AFG,..,..,..,..,..
2011,YR2011,China,CHN,4.784040912,4.213002226,22.08690809,21.59207395,49.23332825
2011,YR2011,Canada,CAN,4.539081996,3.520950655,8.434833189,8.397213093,20.85710941
2011,YR2011,India,IND,4.169043624,2.760302726,22.47999999,21.01375867,35.13179309
2011,YR2011,Italy,ITA,-0.310743968,-0.482040508,3.266781204,3.20036093,17.64425639
2011,YR2011,Japan,JPN,-0.754873506,-0.570874891,3.197419328,3.123864072,25.58057141
2011,YR2011,United States,USA,2.037679809,1.298771913,3.969332215,3.879391557,16.26053339
2011,YR2011,United Kingdom,GBR,0.931272507,0.145562177,3.132496092,3.067005351,14.30247817
2011,YR2011,Switzerland,CHE,-3.479441378,-4.546688899,16.92824219,16.87112439,35.27082697
2011,YR2011,Sudan,SDN,..,..,3.085958807,-0.008535895,28.15134693
2012,YR2012,Afghanistan,AFG,..,..,..,..,..
2012,YR2012,China,CHN,10.37722015,9.631015073,22.97323879,22.48111411,48.66536341
2012,YR2012,Canada,CAN,1.408614879,0.313459088,8.126925931,8.090638023,20.91795123
2012,YR2012,India,IND,6.08519268,4.681306172,22.73688116,21.26271362,35.26129231
2012,YR2012,Italy,ITA,-3.893582215,-4.15227984,2.493090136,2.424760576,17.55087771
2012,YR2012,Japan,JPN,1.56672899,1.729071504,3.016454067,2.942887646,24.89574884
2012,YR2012,United States,USA,3.844882597,3.085864083,5.955896559,5.869931374,18.59643266
2012,YR2012,United Kingdom,GBR,0.244320822,-0.450313324,1.812477196,1.75121897,12.91490291
2012,YR2012,Switzerland,CHE,3.569698839,2.475793683,18.35334808,18.29858898,36.23098038
2012,YR2012,Sudan,SDN,-20.85195382,-20.76907,9.722365885,6.313099459,9.019691458
2013,YR2013,Afghanistan,AFG,..,..,..,..,..
2013,YR2013,China,CHN,5.925224984,5.222030179,21.40590255,20.91059059,47.37839154
2013,YR2013,Canada,CAN,2.678557192,1.599375839,8.299988692,8.264666655,21.5972984
2013,YR2013,India,IND,6.21174473,4.842498006,21.74682262,20.31609638,34.30465749
2013,YR2013,Italy,ITA,-1.537403245,-2.672241476,2.999416058,2.931401204,18.03182182
2013,YR2013,Japan,JPN,2.698262466,2.846534115,3.304609977,3.230008514,25.25252313
2013,YR2013,United States,USA,1.364099096,0.664214928,7.342927702,7.260973053,19.02277901
2013,YR2013,United Kingdom,GBR,1.65747329,0.978906837,1.299746402,1.241428819,11.91359585
2013,YR2013,Switzerland,CHE,0.429534466,-0.718670283,17.22132691,17.16851948,35.56364461
2013,YR2013,Sudan,SDN,2.076890838,9.007673719,12.67493395,9.570489547,8.569256102
2014,YR2014,Afghanistan,AFG,..,..,..,..,..
2014,YR2014,China,CHN,8.48946789,7.807780827,21.38235506,20.89165799,47.61581841
2014,YR2014,Canada,CAN,2.188007561,1.165819948,8.979702827,8.945615569,22.14849389
2014,YR2014,India,IND,6.473506297,5.161005896,21.05535224,19.71117098,33.46602574
2014,YR2014,Italy,ITA,1.061972489,0.13896554,3.916454583,3.849649278,18.86054852
2014,YR2014,Japan,JPN,0.353982444,0.48723477,3.528087722,3.451140601,25.77208863
2014,YR2014,United States,USA,3.224790431,2.470548579,8.184914678,8.107958586,20.1859812
2014,YR2014,United Kingdom,GBR,4.195538303,3.430994447,2.584511383,2.530730591,12.70095605
2014,YR2014,Switzerland,CHE,-0.252640122,-1.462267263,15.31501624,15.26428519,33.42075241
2014,YR2014,Sudan,SDN,9.496003248,5.967830102,28.80268671,26.11210906,7.876162022
2015,YR2015,Afghanistan,AFG,..,..,..,..,..
2015,YR2015,China,CHN,7.349532992,6.727153719,19.67511523,19.17454925,45.41758943
2015,YR2015,Canada,CAN,-2.285869519,-3.012433959,5.429334141,5.395403874,19.56936363
2015,YR2015,India,IND,9.077456805,7.789504141,20.76348706,19.47593025,32.45392411
2015,YR2015,Italy,ITA,0.668545967,0.765613186,3.609039979,3.542060493,18.53172897
2015,YR2015,Japan,JPN,4.056309829,4.166798199,6.123121955,6.04660877,28.17891582
2015,YR2015,United States,USA,3.474192382,2.715194831,7.588655929,7.514339438,20.2436878
2015,YR2015,United Kingdom,GBR,2.943578129,2.131109785,2.900850596,2.848720115,12.92407202
2015,YR2015,Switzerland,CHE,3.83957594,2.664233838,16.82124775,16.77435253,34.8318008
2015,YR2015,Sudan,SDN,4.517667385,-3.971401934,29.67759605,27.20771149,7.385352321
2016,YR2016,Afghanistan,AFG,..,..,..,..,..
2016,YR2016,China,CHN,7.504693533,6.890398705,18.68876875,18.18721011,44.38066144
2016,YR2016,Canada,CAN,0.632732218,-0.500353822,4.695161941,4.660576145,19.14645457
2016,YR2016,India,IND,7.494380663,6.228040735,19.64192458,18.42715042,31.72641474
2016,YR2016,Italy,ITA,3.893079588,4.069727389,5.466451297,5.406003366,20.19833285
2016,YR2016,Japan,JPN,1.398692639,1.45055857,6.882941309,6.806757339,28.72724161
2016,YR2016,United States,USA,1.010921218,0.281565172,6.299408974,6.227511944,18.99376275
2016,YR2016,United Kingdom,GBR,1.826328671,1.057529844,2.47722742,2.425985084,12.48456825
2016,YR2016,Switzerland,CHE,-1.429713983,-2.50027616,15.8224114,15.77947154,33.65321279
2016,YR2016,Sudan,SDN,9.446928039,-28.36348638,28.40350374,26.18117476,8.230976475
2017,YR2017,Afghanistan,AFG,..,..,..,..,..
2017,YR2017,China,CHN,7.125989294,6.479572761,19.30440974,18.81420093,44.9050475
2017,YR2017,Canada,CAN,5.092305051,3.83923155,6.198089941,6.164011034,19.84528099
2017,YR2017,India,IND,8.75634238,7.50676159,20.5156354,19.3623423,31.70675317
2017,YR2017,Italy,ITA,1.739282983,1.891864911,6.334742973,6.276858877,20.68469514
2017,YR2017,Japan,JPN,1.396252145,1.479303607,7.392890322,7.318977018,29.28964909
2017,YR2017,United States,USA,2.602937057,1.955874695,6.984383191,6.91702486,19.59592365
2017,YR2017,United Kingdom,GBR,3.121028156,2.422824608,4.467379874,4.418808167,14.9906367
2017,YR2017,Switzerland,CHE,-0.632815974,-1.555753781,14.05243356,14.013081,31.82193418
2017,YR2017,Sudan,SDN,0.139063901,-25.81307439,31.33877823,29.15772902,7.807688949
2018,YR2018,Afghanistan,AFG,..,..,..,..,..
2018,YR2018,China,CHN,4.212198889,3.725965433,17.84325204,17.36072437,44.48574799
2018,YR2018,Canada,CAN,2.226091959,0.792342896,5.873643649,5.840081306,19.58293123
2018,YR2018,India,IND,5.913422973,4.767825772,19.61835096,18.48455768,31.41049223
2018,YR2018,Italy,ITA,1.465703377,1.658736171,6.942750358,6.884302113,21.12883754
2018,YR2018,Japan,JPN,-0.370795675,-0.244305845,6.8962056,6.821614416,29.12548542
2018,YR2018,United States,USA,2.792909693,2.253193308,6.847128046,6.780960395,19.71900209
2018,YR2018,United Kingdom,GBR,0.835634263,0.226489137,3.291903357,3.242773096,14.25387513
2018,YR2018,Switzerland,CHE,-0.565381475,-1.295159462,13.59292184,13.55295021,31.38751684
2018,YR2018,Sudan,SDN,-11.20410946,155.3587135,24.51917684,22.32124106,-1.172863476
2019,YR2019,Afghanistan,AFG,..,..,..,..,..
2019,YR2019,China,CHN,4.302133617,3.932786799,16.46858046,15.98859084,43.77302796
2019,YR2019,Canada,CAN,1.895067744,0.442172905,6.038370234,6.005324976,20.26163399
